,LAUS Code,State FIPS Code,County FIPS Code,Year,Labor Force,Employed,Unemployed,Unemployment Rate,County Name,State,Employment Rate
0,CN0100100000000,1,1,2015,"25,541","24,206","1,335",5.2,Autauga County,AL,94.8
1,CN0100300000000,1,3,2015,"87,493","82,619","4,874",5.6,Baldwin County,AL,94.4
2,CN0100500000000,1,5,2015,"8,590","7,823",767,8.9,Barbour County,AL,91.1
3,CN0100700000000,1,7,2015,"8,552","7,983",569,6.7,Bibb County,AL,93.3
4,CN0100900000000,1,9,2015,"24,416","23,089","1,327",5.4,Blount County,AL,94.6
5,CN0101100000000,1,11,2015,"4,765","4,385",380,8,Bullock County,AL,92
6,CN0101300000000,1,13,2015,"9,113","8,417",696,7.6,Butler County,AL,92.4
7,CN0101500000000,1,15,2015,"45,808","42,566","3,242",7.1,Calhoun County,AL,92.9
8,CN0101700000000,1,17,2015,"14,939","14,031",908,6.1,Chambers County,AL,93.9
9,CN0101900000000,1,19,2015,"11,132","10,521",611,5.5,Cherokee County,AL,94.5
10,CN0102100000000,1,21,2015,"19,089","18,005","1,084",5.7,Chilton County,AL,94.3
11,CN0102300000000,1,23,2015,"4,369","3,969",400,9.2,Choctaw County,AL,90.8
12,CN0102500000000,1,25,2015,"7,976","7,036",940,11.8,Clarke County,AL,88.2
13,CN0102700000000,1,27,2015,"5,535","5,194",341,6.2,Clay County,AL,93.8
14,CN0102900000000,1,29,2015,"5,664","5,321",343,6.1,Cleburne County,AL,93.9
15,CN0103100000000,1,31,2015,"20,222","19,010","1,212",6,Coffee County,AL,94
16,CN0103300000000,1,33,2015,"23,550","21,673","1,877",8,Colbert County,AL,92
17,CN0103500000000,1,35,2015,"4,671","4,238",433,9.3,Conecuh County,AL,90.7
18,CN0103700000000,1,37,2015,"4,416","4,119",297,6.7,Coosa County,AL,93.3
19,CN0103900000000,1,39,2015,"15,422","14,314","1,108",7.2,Covington County,AL,92.8
20,CN0104100000000,1,41,2015,"6,339","5,957",382,6,Crenshaw County,AL,94
21,CN0104300000000,1,43,2015,"36,296","34,376","1,920",5.3,Cullman County,AL,94.7
22,CN0104500000000,1,45,2015,"19,789","18,524","1,265",6.4,Dale County,AL,93.6
23,CN0104700000000,1,47,2015,"15,555","14,056","1,499",9.6,Dallas County,AL,90.4
24,CN0104900000000,1,49,2015,"28,700","26,949","1,751",6.1,DeKalb County,AL,93.9
25,CN0105100000000,1,51,2015,"36,655","34,803","1,852",5.1,Elmore County,AL,94.9
26,CN0105300000000,1,53,2015,"14,564","13,535","1,029",7.1,Escambia County,AL,92.9
27,CN0105500000000,1,55,2015,"42,586","39,936","2,650",6.2,Etowah County,AL,93.8
28,CN0105700000000,1,57,2015,"6,406","5,954",452,7.1,Fayette County,AL,92.9
29,CN0105900000000,1,59,2015,"13,628","12,746",882,6.5,Franklin County,AL,93.5
30,CN0106100000000,1,61,2015,"10,761","10,120",641,6,Geneva County,AL,94
31,CN0106300000000,1,63,2015,"2,872","2,552",320,11.1,Greene County,AL,88.9
32,CN0106500000000,1,65,2015,"6,034","5,562",472,7.8,Hale County,AL,92.2
33,CN0106700000000,1,67,2015,"6,702","6,243",459,6.8,Henry County,AL,93.2
34,CN0106900000000,1,69,2015,"44,440","41,655","2,785",6.3,Houston County,AL,93.7
35,CN0107100000000,1,71,2015,"23,407","21,840","1,567",6.7,Jackson County,AL,93.3
36,CN0107300000000,1,73,2015,"310,158","292,165","17,993",5.8,Jefferson County,AL,94.2
37,CN0107500000000,1,75,2015,"5,602","5,246",356,6.4,Lamar County,AL,93.6
38,CN0107700000000,1,77,2015,"42,544","39,577","2,967",7,Lauderdale County,AL,93
39,CN0107900000000,1,79,2015,"13,642","12,582","1,060",7.8,Lawrence County,AL,92.2
40,CN0108100000000,1,81,2015,"70,690","66,958","3,732",5.3,Lee County,AL,94.7
41,CN0108300000000,1,83,2015,"39,848","37,653","2,195",5.5,Limestone County,AL,94.5
42,CN0108500000000,1,85,2015,"3,819","3,376",443,11.6,Lowndes County,AL,88.4
43,CN0108700000000,1,87,2015,"7,951","7,307",644,8.1,Macon County,AL,91.9
44,CN0108900000000,1,89,2015,"170,473","161,071","9,402",5.5,Madison County,AL,94.5
45,CN0109100000000,1,91,2015,"7,387","6,820",567,7.7,Marengo County,AL,92.3
46,CN0109300000000,1,93,2015,"12,453","11,583",870,7,Marion County,AL,93
47,CN0109500000000,1,95,2015,"40,290","37,944","2,346",5.8,Marshall County,AL,94.2
48,CN0109700000000,1,97,2015,"186,483","173,586","12,897",6.9,Mobile County,AL,93.1
49,CN0109900000000,1,99,2015,"7,324","6,583",741,10.1,Monroe County,AL,89.9
50,CN0110100000000,1,101,2015,"104,799","98,376","6,423",6.1,Montgomery County,AL,93.9
51,CN0110300000000,1,103,2015,"54,782","51,538","3,244",5.9,Morgan County,AL,94.1
52,CN0110500000000,1,105,2015,"3,478","3,129",349,10,Perry County,AL,90
53,CN0110700000000,1,107,2015,"7,987","7,445",542,6.8,Pickens County,AL,93.2
54,CN0110900000000,1,109,2015,"14,904","13,918",986,6.6,Pike County,AL,93.4
55,CN0111100000000,1,111,2015,"9,410","8,852",558,5.9,Randolph County,AL,94.1
56,CN0111300000000,1,113,2015,"24,051","22,614","1,437",6,Russell County,AL,94
57,CN0111500000000,1,115,2015,"38,470","36,452","2,018",5.2,St. Clair County,AL,94.8
58,CN0111700000000,1,117,2015,"107,932","103,362","4,570",4.2,Shelby County,AL,95.8
59,CN0111900000000,1,119,2015,"5,096","4,687",409,8,Sumter County,AL,92
60,CN0112100000000,1,121,2015,"35,052","32,736","2,316",6.6,Talladega County,AL,93.4
61,CN0112300000000,1,123,2015,"18,696","17,550","1,146",6.1,Tallapoosa County,AL,93.9
62,CN0112500000000,1,125,2015,"98,625","93,229","5,396",5.5,Tuscaloosa County,AL,94.5
63,CN0112700000000,1,127,2015,"25,503","23,650","1,853",7.3,Walker County,AL,92.7
64,CN0112900000000,1,129,2015,"6,685","6,086",599,9,Washington County,AL,91
65,CN0113100000000,1,131,2015,"2,819","2,404",415,14.7,Wilcox County,AL,85.3
66,CN0113300000000,1,133,2015,"9,354","8,645",709,7.6,Winston County,AL,92.4
67,CN0201300000000,2,13,2015,"2,472","2,395",77,3.1,Aleutians East Borough,AK,96.9
68,CN0201600000000,2,16,2015,"4,060","3,908",152,3.7,Aleutians West Census Area,AK,96.3
69,CN0202000000000,2,20,2015,"156,476","148,856","7,620",4.9,Anchorage Borough/municipality,AK,95.1
70,CN0205000000000,2,50,2015,"7,325","6,304","1,021",13.9,Bethel Census Area,AK,86.1
71,CN0206000000000,2,60,2015,380,346,34,8.9,Bristol Bay Borough,AK,91.1
72,CN0206800000000,2,68,2015,"1,066",976,90,8.4,Denali Borough,AK,91.6
73,CN0207000000000,2,70,2015,"2,033","1,843",190,9.3,Dillingham Census Area,AK,90.7
